,labels,responses
32,SARCASM,Naw attendee Invited fundraiser money
33,SARCASM,broken system Can't Sucks pay taxes Cant refuse we'll jail
34,SARCASM,Thank goodness ... Power back 16 hours 2020
35,SARCASM,Hysterical Williams source 4 story #Liar #HillaryLies
36,SARCASM,Yes wedding activities ruined assholes
37,SARCASM,born silver spoon defend brutalizing protestors
38,SARCASM,Yeah that's Old Testament unhitch ...
39,SARCASM,Billy rays hit
40,SARCASM,CPFC Nigel Farage supports
41,SARCASM,father immigrant Palestine Successful CA real estate developer Muslim
42,SARCASM,Gee give em break they've defend Australia #auspol
43,SARCASM,rob decries fascism silences dare disagree w
44,SARCASM,Awesome That's greatest reason
45,SARCASM,tells know _
46,SARCASM,commenting story seemingly interest #JustSayin
47,SARCASM,soyboy I'm sure & 3 followers gonna cause serious havoc
48,SARCASM,Georgie hating women got job news wearing short skirt low cut top
49,SARCASM,Im sure he'll tell time sell
50,SARCASM,Wait I'm confused did President Trump shoot jet did Iran
51,SARCASM,Oh scandalous people feel comfortable dare
52,SARCASM,wait make sense keep told Kelly throws players bus
53,SARCASM,Right definitely listening Louise know things
54,SARCASM,haha cry triple talaq care women ...
55,SARCASM,know listen technology spotify tube Dont bitter I'm 90 % sure did play Chicago #imockwithlove
56,SARCASM,> exploited quit & fights UBI
57,SARCASM,invited ministry tourism _
58,SARCASM,job teaching course ethics William Mary kidding
59,SARCASM,don't shur exit ramps hours simply trying time speeding
60,SARCASM,dentist I've known major sweet tooth themself #StoryDam
61,SARCASM,Man causing harm people he's met country ...
62,SARCASM,felt schedule stepped dug deep eared win tough opponent post isn't intended call OSU ... It's sarcastic #ALLIN #Clemson
63,SARCASM,Gold #Bitcoin I'm shocked words
64,SARCASM,Extremely boring response lovely hear you're considerate customers ...
65,SARCASM,Sherwood Forest Annapolis $ $ neighborhood
66,SARCASM,course America oil greedy
67,SARCASM,: FNs child welfare resource development Conservatives response court #cdnpoli
68,SARCASM,know say joke needs explanation wasn't funny meant ... I'll rise having explain difference referencing KU Oooops bad
69,SARCASM,Sen Bertino-Tarrant : careful wish ppl elect bad ppl problems won't resolved #HB557
70,SARCASM,law enforcement guns take away guns
71,SARCASM,I'd put money fact bet correctly
72,SARCASM,wrong it's hard find start point begin
73,SARCASM,Rahul Thought know Haven't following long know wouldn't voting Cong janma
74,SARCASM,It's apparently compensated delayed injured
75,SARCASM,funny gangster places SouthLondon & Australia scariest place went ComptonsSoho
76,SARCASM,love insight 22 second ‘ grab'of video ...
77,SARCASM,Second I'm proud talent
78,SARCASM,Andy read tweet play Lach's UVA-UL post game recording #arrogant
79,SARCASM,delayed station drive train #southernfail
80,SARCASM,Awesome customer services told response 72 hours didn't happen asked info 24 hours 0 acknowledgment
81,SARCASM,Yeah fit hate driven narrative busy provoking inclusive loving non bigoted libs busy bodies contradiction Preaching acceptance think believe behave #Narcissists
82,SARCASM,constantly monitoring customer feedback look bringing HomeKit market working researching new products think customers Thank suggestion
83,SARCASM,pti IK contesting case accused PM proof
84,SARCASM,#OROP political party sail boat Armymen sat Jantarmantar happnd time
85,SARCASM,Sounds nicely Proven technology bot detection
86,SARCASM,show spoof judges today That'll make laugh great additional discussion
87,SARCASM,thought articulate intelligent take
88,SARCASM,left keeps reminding Americans fat
89,SARCASM,IQ concerns don't know you're naive dirty
90,SARCASM,you're high school drop welfare You're qualified impugn anyone's intelligence
91,SARCASM,love can't spell comments ignorance
92,SARCASM,trust mafia History proven true different tech mafia honest mafia don makes heroic protagonist winner mafia war movie
93,SARCASM,Yeah Let's sacrifice boy's future make example Seriously bit empathy harm
94,SARCASM,Ask Trump great guy Trump
95,SARCASM,r pollsters told DT wouldn't win & Hillary win #WI #MI
96,SARCASM,atmosphere means there's response & effect play Quote : player
97,SARCASM,wife posted Facebook text asking dropped wagon Hah
98,SARCASM,people disagreeing hateful aggressive language comments
99,SARCASM,comedy video heard MSM omission deception
100,SARCASM,realize profile pic man kisses men lips right
101,SARCASM,You're Bay Area sports fan wants #calexit bc hate CA #finebyme
102,SARCASM,internet ... socializing anti-social social media ...
103,SARCASM,Right people take kids commit burglary she's there's ten people living hundred relations she's Plus friends owes explanation
104,SARCASM,song tunes incl love China people chanting anti-establishment slogans
105,SARCASM,say ppl voted megalomaniacal reality tv star #lohansux
106,SARCASM,black man saying wishs black genocide Christmas ... sounds Richard Pryor joke
107,SARCASM,Hilarious #journalism org decrying fake news stories
108,SARCASM,Oh told clients there's good chance 90 % returns stocks th #noguarantees
109,SARCASM,Yeah blocking disagree's that's pinacle emotional maturity
110,SARCASM,High quality materials don't allow price lower & course it's Corning names strategic partners randomly
111,SARCASM,pervasive liked Wanting supplant 1 asserted bias different 1 choosing — that's hilarious failing acknowledge bias choosing exists ... — That's IRONY
112,SARCASM,true & policy makers learn past experiences
113,SARCASM,says better denise Can't decide supports politically LOL SMH #Projection
114,SARCASM,black people shot they're poor thought
115,SARCASM,ZERO say slow stop changed rules 2014
116,SARCASM,irony tweet lost trump supporter writer priceless
117,SARCASM,Democrats demand judge immigrant character u judge republicans evil
118,SARCASM,case device failed resist water taken pool time
119,SARCASM,OHHHH NOOOO can't make Billionaires pay fair share keep subsidizing
120,SARCASM,Take hands wheel time you're driving car interstate good pilot God Good Luck
121,SARCASM,__ you've won bloody cheating comes mind
122,SARCASM,thats exactly think esp 1 person known big trend-hopper
123,SARCASM,& crooks campaigned Trudeau's media manufactured scandals Rich #Karma
124,SARCASM,Imagine trump sycophant talking fidelity
125,SARCASM,LOL call Freedom Zone takl getting rid public media
126,SARCASM,thinking thing Couldn't read putting phone phone ___
127,SARCASM,say Donald Trump everyday #mindblown #oops
128,SARCASM,give benefit doubt don't set rules Boomtown Rats You're guilty til proven guilty Isn't law Guilty til proven guilty That's
129,SARCASM,It's actually think piece racial identity look deeper
130,SARCASM,cried GamerGate games media ingroups special access tainted journalism #lol
131,SARCASM,Son it's swear word adults emphasize point you're 10 yrs old wtf Twitter I'm deleting account put GD phone play ...
132,SARCASM,: ( 1 ) I'm white man I'm Native America ( Paiute ) ( 2 ) guys dressed Natives
133,SARCASM,did win popular vote did Trump won electorate vote Lol
134,SARCASM,didnt read bummed ab punch b c safe inaug
135,SARCASM,managed keep prayers schools please allegiance
136,SARCASM,Isn't shame Hindu fanatics spreading terror Iraq Syria Hindu tried kill people London bridge Jamal Khasoggi murdered RSS worker Osama bin Laden member BJP #islamicfanatic
137,SARCASM,it's interesting white voters Florida Ohio Pennsylvania voted Obama voted Trump
138,SARCASM,insults city don't power calls city classless
139,SARCASM,You're right black president preposterous idea
140,SARCASM,crazies follow threaten people writing ... amazing #surrondedbycrazies
141,SARCASM,Spanish Fort AL Baggers working aggravated Grocery Manager Bawaneh throughly enjoyed helping bag groceries placing groceries cart
142,SARCASM,Screw history cares make mistakes did past
143,SARCASM,folks bullying third party candidates supporters right
144,SARCASM,Yes measures introduced um Amber Rudd
145,SARCASM,people good education
146,SARCASM,gonna ask thing
147,SARCASM,Part reason Domme legal prostitute Dommes don't mix two legal reasons cool don't strap sessions count prostitution legally hookers
148,SARCASM,wait there's election election haven't heard election ... lemme
149,SARCASM,guess that's proudly call fighting girl
150,SARCASM,find hilarious you're #boycotting going watch ___
151,SARCASM,read story came #Ricketts phone right people answer you'll given New ... #Ohdearindeed #notfakenews
152,SARCASM,shame ppl stand pakistani actors dont hv spine stand thr #Hippocrates #ZairaWasim
153,SARCASM,bit based today's news regarding RKG funding IMHO greater aspirations
154,SARCASM,boy oh boy .. y'all acting SJW's accusing Ben acting SJW
155,SARCASM,I'd pass source Greggs she'd taken UC
156,SARCASM,I'll people trying closest parking spot entrance don't walk
157,SARCASM,Yeah good luck constructive advocate smashing face brick wall
158,SARCASM,find comical Clemson title game tonight thing mind : living rent free head
159,SARCASM,you're going insult someone's cleverness sentence structure ..
160,SARCASM,seriously believe thousands ppl concerned low IQ Consider
161,SARCASM,Oh yes ULIP better Term return premium
162,SARCASM,wants bad believes Freddie traded rest team shot
163,SARCASM,Ive following religiously ... given predilection chop change political opinions hard tell attached
164,SARCASM,bad probably 1 100 people actually given small dollar donation campaign drop average $ 2000 $ 1990 donor grassroots progress
165,SARCASM,problem badge phrase ‘ Independence Day'refers holiday gained independence British armies we're coining phrase segregate EU bloc access great economic benefits
166,SARCASM,Climate change sea level rise swamps flood
167,SARCASM,Words meaning it's communicate millions people millennia planet word woman linguistic variations continues mean biological female BTW abusing people opposing views actual definition bigotry
168,SARCASM,Sigh Meghan Helping impacted Grenfell fires way empowers Developing clothing line help business attire 4 interviews Bringing attention UK charities 3 successful tours representing UK It's
169,SARCASM,says guy praised Original tweet
170,SARCASM,glad Twitter notified replied yeah it's actually blurry doubt done it's
171,SARCASM,nice complement islamaphobe
172,SARCASM,Hey #SnowFlakes Shall discuss changed rules & nuclear option 2013
173,SARCASM,I'm going reply Government Rescue thing believe Uber Lyft thing spread ...
174,SARCASM,clear & present danger
175,SARCASM,... repeat tell #iknowshesjoking #soami
176,SARCASM,utter drivel ... Sturgeon nerve word democracy oh
177,SARCASM,Sorry thought Catholics sense humor ...
178,SARCASM,indian cricket council wrong
179,SARCASM,#Bravo grofers amazing customer service tried talking second time thought it's money bother Grofers giving free cost products listen m getting money buy products #grofers
180,SARCASM,Wait logical normal explanation fit line subtle attack impartial journalist candidate boring record appealing lot voters Oh that's right he's gay white
181,SARCASM,sounds exactly way Trump deals reporters
182,SARCASM,$ 31 4 months ago Today $ 125 people interested buying 300 % return 4 months Gotta love enthusiasm ...
183,SARCASM,I'm NYT buy crap liner parrot cage
184,SARCASM,don't spare kids religion caste violence bollywood sex spare politics Let's way ( people don't )
185,SARCASM,think got RT Respect
186,SARCASM,hope thats meant sarcastic crazy apocalyptic musician
187,SARCASM,did support #gay marriage 2008 campaign ( did #Clinton ) u remember #hypocritical
188,SARCASM,mean sucking
189,SARCASM,irks fact didn't sound intelligent--in intelligence community
190,SARCASM,oblivious couldn't possibly stoked flames
191,SARCASM,isn't Muhammed considered great deceiver = Satan Christian Bible don't trust
192,SARCASM,know liberals democrats time traveling warlocks feast babies power makes sense wouldn't able video Yep
193,SARCASM,Comments show lack functioning brain cells
194,SARCASM,Try time Hard tell days
195,SARCASM,#access video voting barriers lack #captions ...
196,SARCASM,Exactly Cubans targeted Islamists building mosques unlimited Obama
197,SARCASM,loads #passion three alarm cloc
198,SARCASM,thinking time McConnell keeping Obamacare alive
199,SARCASM,course suggestion ironic follow ironically
200,SARCASM,Cant agree mor Rohingya menace Jmu sabotage 2 d ppl f Jmu #He d mastermind f DEMOGRAPHIC Invasion f Jmu & V d NATIONALIST bt INNOCENT ppl f Jmu wr made 2 believe & rejoice tht hez Ist Jmu CM damaged Jmu cause mor 1
201,SARCASM,Give break suffered heart attack
202,SARCASM,good news won't complain sore putting
203,SARCASM,language defines narrative Acc #Aleppo fallen #Palmyra retaken #Syria
204,SARCASM,Bush Cheney s puppet #CrookedDonald b Putin's .. Who'd known we'd call Cheney good guys
205,SARCASM,Richard Spencer talking lying media distorting reality headlines
206,SARCASM,surprising can't find middle ground miles miles space middle you'd think easy find
207,SARCASM,Yes Stop exactly demanding Senator stop
208,SARCASM,course don't collected $ 1G seat DIVERSE VIEWERS ( elite ... )
209,SARCASM,... especially focus media put victims ... emails
210,SARCASM,don't think Peru bank going trick
211,SARCASM,13 2010 sad mothership fans Guess good #SVU cast crew
212,SARCASM,sounded bit creepy I'm panicking think stalker #mentalhealth
213,SARCASM,Surely Cameron gets suspended ... mean ... orchestrated thing ... right
214,SARCASM,set fly playa Del Carmen dec 1996 new city sat snowy tarmac hours told home come back Eventually made Playa wasn't lost #Snowpocalypse2020
215,SARCASM,you'd taken trees hugging there'd fires #staysafe #cometogether #fuckmurdoch
216,SARCASM,You're Refuses Acknowledge Results Election ( s ) #LackOfSelfAwareness
217,SARCASM,Sad add ride
218,SARCASM,won't defend cause criticize women brave stand believe
219,SARCASM,don't people's appearance insult it's petty & distracts real evil they've done
220,SARCASM,can't wait petition European court justice
221,SARCASM,tried submit refund flight wifi wasn't good
222,SARCASM,Paciorrety hone defensive play getting promoted
223,SARCASM,tweets didn't come intended isn't needed ... ;)
224,SARCASM,I'm 49 I've asked working class people know PoshPainter Owen Jones
225,SARCASM,added didn't think necessary
226,SARCASM,: guess ...
227,SARCASM,hand Bloomberg obviously concerned ... Michael Bloomberg owns 3 planes 2 helicopters 6 boats 11 houses 42 cars .. suggests take bus help fight climate change
228,SARCASM,disgusting .. ur tweet actually scum write
229,SARCASM,It's short cetera meaning rest Don't worry Latin legaltips It's dead language #DemocratsAreDullWitted
230,SARCASM,Saddam evil powerful dangerous Removing strategy beneficial America saving American lives
231,SARCASM,finally ; misspelled Du Bois De Bois ( signs bullying )
232,SARCASM,forgot add That's typing phone
233,SARCASM,say he's simpleton grammar suggests you're bigger simpleton #salty
234,SARCASM,fact person ensured fair trial witnesses evidence complaining fairness ordered witnesses testify
235,SARCASM,Uh-oh un-PC pro safe space protect feelings _
236,SARCASM,u idiot .. care Hispanics He'll call u anchor baby means support
237,SARCASM,Funny mention fear known poem Greatest Fear acting power fear
238,SARCASM,Crusades long ago don't bring Jesus we're talking shelf life
239,SARCASM,note : trying funny add hashtag
240,SARCASM,You're right Corruption started January 2017 bad
241,SARCASM,Where's empirical evidence did ( u produce r ppl deny ) #MRobertsisaLoony
242,SARCASM,forgets Trumble hung Packers coat tails ..
243,SARCASM,thanks sweetie I'm Salem area funny similar personalities gotta love
244,SARCASM,Enjoying #citation : paywall exclusion major hindrance tackling climate change denial #agnotology #ClimateEmergency
245,SARCASM,serious jail time
246,SARCASM,Shows poor bloke needed holiday : wasn't thinking straight
247,SARCASM,mean Melania did Worked proper visa lies
248,SARCASM,words crooked collaborate #TraitorInChief
249,SARCASM,can't believe traded guy Gave way
250,SARCASM,Mizzou fans worry KU Football speak w team
251,SARCASM,says guy declared there's evidence asked peer review
252,SARCASM,farewell address scheduled conference two different things :|
253,SARCASM,Give child jar jelly beans ones horde identify Conservatives made fun ones share Liberals fair game teasing regardless age
254,SARCASM,women completely lack attractive feminine features feminists resemble men _
255,SARCASM,checked eliminate synonyms
256,SARCASM,:( Looks deleted Dropbox phone due storage issues
257,SARCASM,leave fragments lying find identify
258,SARCASM,biggest elitist running country ...
259,SARCASM,Dudes dressed nine cry gold-digger women pursued assumed big-money
260,SARCASM,got car mobile phone computer whinging coal ... lifestyle powered petroleum mate ... don't say computers ...
261,SARCASM,isn't knows point Check man's life b4 assuming u know ffs
262,SARCASM,#TuamBabies alive place #PPSellBabyParts #repealthe8th support
263,SARCASM,Lucky got citizenship sorted offense throw
264,SARCASM,amuses greatly trans people accept can't accept #hypocrites #stunningandbrave
265,SARCASM,... Rx Sglt 2i Dpp 4i high carb
266,SARCASM,Fan fact : station Isle Dogs #ironic #alanismorrisettemoment
267,SARCASM,Girls worship Ravana & propagate anarchy Ravana real life forgot revolution anarchy went police
268,SARCASM,Yup happened Game 6 conversation wouldn't happening
269,SARCASM,dont know guys guy 2000 atbats hasn't time show reveal true colors
270,SARCASM,coons brown & black & wear mask ... ppl idiots able
271,SARCASM,uses stops least Twitter ... Lol
272,SARCASM,liked covered face scarf way court _
273,SARCASM,Naive opinion campaign ran ran Hope Change screwed
274,SARCASM,women strive 2B treated equals housewives & y'all counter w shopping boycott dumbasses
275,SARCASM,Big fan asset sales management keep sporting political allegiances
276,SARCASM,afraid #Saudi she's anti HEJAB ( lot ) #Moslem_woman #afraid anti HEJAB
277,SARCASM,Hey think ( ) season 1 best thing got better
278,SARCASM,forgot cake I'm dog house _ _
279,SARCASM,persons autism sentient :(
280,SARCASM,didn't say death wish did
281,SARCASM,yeah obviously cushion laudatory Oasis take two da jokes
282,SARCASM,lit trump products made
283,SARCASM,... refers angry c nty stupid simultaneously accusing hate-filled
284,SARCASM,Says person singlehandedly defending Ben tweet
285,SARCASM,Remainers clear leave meant
286,SARCASM,100 % Brexiteer I've won eloquent sophisticated campaign
287,SARCASM,sicko actually asking kiss getting kissing
288,SARCASM,commented continue #hate Speaking bubbles #Hillarys pop
289,SARCASM,says woman isn't white name isn't Smith #immigrant
290,SARCASM,Yeah ... self destructive ... multi billionaire President Elect ... #ElectionHangover
291,SARCASM,DGSE collapses assume it's due exogenous shock inherent failings
292,SARCASM,good observation #MadeInAmerica social channel allow #boycottUSA gain strength
293,SARCASM,Oh you're right mean ABC providing services people living bushfire areas
294,SARCASM,think way disagrees pond scum launched sun
295,SARCASM,You've embraced Trumpism it's fell con ... that's
296,SARCASM,cause probably won't able tweets
297,SARCASM,guys builiding trade non-UK nationals ...
298,SARCASM,bullshit argument #smh claim bullshit
299,SARCASM,notice rioters riot suburbs riot democratically controlled urban areas
300,SARCASM,yeah probably previous tweet
301,SARCASM,Right w private email server nominated potus having ur party's email hacked Russia
302,SARCASM,man steps patriarchical beauty ideal thrust men beauty industry bigger layer fat obese women high quality top tier women
303,SARCASM,simply left live & work leave control
304,SARCASM,#atudents #yelders #mothers peacefully days
305,SARCASM,argue saved LFC people came oust forced Gillette & Hicks
306,SARCASM,Truth Monkey refuses real name
307,SARCASM,look triggered criticizes conservatives skeptic ppl power
308,SARCASM,I've spent days UK tell I'm lucky survived can't walk getting splashed hot tea hit footie ball trampled knight horseback perils
309,SARCASM,joining Communist party Trump mean
310,SARCASM,It's stupid #bias share thoughtful reflection moment time dismiss stupidity
311,SARCASM,Won't able tweets leave #europe
312,SARCASM,take back got garden salad Thousand Island bowl chowder tonight
313,SARCASM,didnt u express view 2 #Obama 8yrs ago disagreed w #gaymarriage
314,SARCASM,Horse apples United Europe failed experiment destined Europe diverse
315,SARCASM,didn't word massacre statement #FAKENEWS Bowling Green added
316,SARCASM,know Shocking right accusing close minded xenophobes systematically abusing ...
317,SARCASM,jump convo police people's opinions tv
318,SARCASM,that's Obama told __ u blame republicans that's rich w #history
319,SARCASM,slow ... internet slow you're hogging
320,SARCASM,ironically REHAB cruel frien
321,SARCASM,replace Flynn man plead guilty mishandling classified docs #hypocrisy #meets
322,SARCASM,Virgin airlines don't help Tory Party
323,SARCASM,ignorant SMH Interesting you're calling church liar fact support WH guy lied 15000 times setting foot WH Talk #Idiocracy convoluted sense values
324,SARCASM,Sick burn think I'll stick mocking Trump cultist sheep It's fun
325,SARCASM,#TheDemocrats realize embracing #LiberalFascism signing #Death ...
326,SARCASM,Hey Hey Hey candidates shouldn't talking abt facts
327,SARCASM,Rallied pointed inequality & reversed glass ceilings
328,SARCASM,: tweeted prior note & Home Away commercial comes __
329,SARCASM,It's funny fb page FDR's picture reacting internment camp threats
330,SARCASM,Hysterical Reactionary Idiot Democrat 19th Century #GOP #PartyOfLincoln #Democrats Enjoy [: )
331,SARCASM,aw cheers Yes way humble bastards
332,SARCASM,cared truth tweet That's what's amusing #hypocrisy
333,SARCASM,Big Issue seller socialism empathy
334,SARCASM,Scott laughing emoji tears clearly didn't mean wrote #passiveaggressive #keyboardwarrior
335,SARCASM,Judging grammar English poor don't betrayed
336,SARCASM,please read tweet back ... slowly repeat urge bang head desk
337,SARCASM,Update : It's broken user profile Bad news : create new user option things work Good news : I'd created account daughter years ago ; logged works great profile fixed replaced ...
338,SARCASM,speech giving access yr biggest market TM says good UK bad Scotland
339,SARCASM,Don't tell lies man lol beat corpse mean man 3rd pro fight 14-3- 1 turns best opponent statistically he's fought date
340,SARCASM,course it's possible referendum take place 23 April 97th anniversary parliament's foundation
341,SARCASM,Hillary private email server & took money 4 speeches #DrainTheSwamp
342,SARCASM,You're brainwashed hateful talk knowledge
343,SARCASM,leaks make patriots Cool default wikileaks paradigm patriotism
344,SARCASM,unpatriotic attitude Trump make America great GOP
345,SARCASM,cant understand r calling jackasses
346,SARCASM,Brum handier London stay UKIP dad
347,SARCASM,Says Naxalite Chief India ... Comrade killed _
348,SARCASM,Haha bureaucrats says former D C Duncan mouthpiece Bureaucrat oh
349,SARCASM,candidate show loser BTW put Trump WH goading correspondence dinner
350,SARCASM,substantiated claims looks Trump investigation
351,SARCASM,Uff ... releaved thought real problems preventive policing putting left wing green antifa weirdos away trick back normal Right
352,SARCASM,honestly thought Brits educated lol aside football brexit mean know ... #Educated #GoBackToSchool
353,SARCASM,Moronic #flatderper refers actual intelligent people retarded
354,SARCASM,bro heard butterfly effect Btw tweet joke Chill man
355,SARCASM,#brexit protest vote establishment deepest established getting way
356,SARCASM,award don't goes ...
357,SARCASM,it's due Obama ... man couldn't envision outcomes admission stumbled policies producing results left
358,SARCASM,didn't characters left add lol
359,SARCASM,they're Teachers split two monitor support groups time ... know ... support school give money hire teachers increase infrastructure #ableg
360,SARCASM,attacked views liberals scorn
361,SARCASM,Thanks original tweet removed :-( charitable
362,SARCASM,says person touting PhD can't spell lacks critical thinking skills
363,SARCASM,Theresa wasn't elected 75 % didn't vote 29 Tories investigated #ToryElectionFraud
364,SARCASM,Ben Carson can't tell tomb silo Secretary Housing Urban Development
365,SARCASM,agree User ratings numbers shambles email ( new phone sure went ) #possibly
366,SARCASM,social team amazing responsive customers makes spend $ 700 suitcase make way destination piece ‍ ️ #missedopportunities #wtf
367,SARCASM,thats true Unfortunately Devs taught empathy take fast gains short-term big loss long
368,SARCASM,smile especially told
369,SARCASM,Great watch sky cast version #Neat
370,SARCASM,u did read bothered tweeting _
371,SARCASM,call racist & demean intelligence spew anti-black rhetoric understanding basic math
372,SARCASM,LMAO pseudo-logic Trump's refusal cooperate myriad investigations ...
373,SARCASM,Gee ... leadership deceitful secretive Machiavellian wish back
374,SARCASM,yes keep running answer Oh wait ... #brexitshambles
375,SARCASM,Love write coup article don't mention electoral fraud trying report truth convenient #ThereWasNoCoup power greedy autocrat overthrown
376,SARCASM,actually Avengers Endgame you're side LOST
377,SARCASM,premiere symbol Nazi engineering Volkswagen target people love Nazi Germany
378,SARCASM,1 know #AltReality speaking unflattering inconvenient #truth #TeamTrump = hate ...
379,SARCASM,youtuber question's channel literally here's place went interesting facts
380,SARCASM,Countries w o taxes regulations & infrastructure r likely solicit travel bans
381,SARCASM,call big club
382,SARCASM,Hey don't tell makes fascist fascist ;)
383,SARCASM,calling gullible believed Trump drain swamp build wall
384,SARCASM,it's discipline Alexis selfish making
385,SARCASM,think Australia similar program believe Ont Teacher's pension fund invested
386,SARCASM,love fact Profile Photo #OrsonWelles self proclaimed Progressive Leftist _
387,SARCASM,55 points castle greyskull
388,SARCASM,guy repeatedly election rigged objects recount rigged
389,SARCASM,Oh Tom due ( importantly earned ) respect
390,SARCASM,actually tweeted nonsense backward people
391,SARCASM,taken time pointing play focus #trump asking civility
392,SARCASM,blind belief word Trump speaks definition #sheep
393,SARCASM,Research proven Fred ) incapable googling B ) spreading falsehoods purpose
394,SARCASM,sure news full huge crowds doors people fighting latest Gizmo ...
395,SARCASM,biggest criticism Browns organization Pony Express wasn't available couldn't send carrier pigeon
396,SARCASM,Biden work Republicans pass right-wing legislation Joe Biden Paul Ryan right cut social security Medicare pick rep VP restore SOUL nation
397,SARCASM,educated loving woman possibly conservative certainly voted Trump
398,SARCASM,Countered #climatechange activists stuck ice gone you're welcome
399,SARCASM,thing justified Ummah :)
400,SARCASM,new administration
401,SARCASM,til walmart & food goods cost & dont make money work #karma
402,SARCASM,Irony understood Twitter explains hashtag
403,SARCASM,Republished work back add background Note words thoughts & ideas ; wisdom gained I've shared learn abusive childhood & harmful patterns carry stopped
404,SARCASM,shearer got goal ruled world cup played rules led elbow 1st
405,SARCASM,omg hashtag needed 30 days
406,SARCASM,Christians enjoy finding reasons hate
407,SARCASM,It's shame machine learning wasnt invented took 1.5 years
408,SARCASM,Wrong beat Dallas Eagles playoffs
409,SARCASM,Dems playing class warfare card worked IL NJ NY ...
410,SARCASM,new lol I've watching monkey-in-chief 8 yrs He's know
411,SARCASM,: Oh irony mercury containing flu vac pushed MERCURY news #CDCwhistleblower #Vaxxed
412,SARCASM,think missed silent comment appear blocked comment fact supportive premise OP's tweet
413,SARCASM,Players footage subjected racist abuse football match fans posted
414,SARCASM,give max yearly amount they'll stop calling
415,SARCASM,Apparently takes offense people calling fact can't spell Dickenson correctly hurt itty bitty feelings feel bad
416,SARCASM,Ha ha heard #trumpfoundation definition
417,SARCASM,That's great resource people won't mistake d-bag
418,SARCASM,know history bout America started applying citizenship count white colonization
419,SARCASM,He's good listen
420,SARCASM,take advice buddy
421,SARCASM,Grouping millions people close minded close minded
422,SARCASM,pics family war crime biggie put lives service members danger hurt image nation world stage #GOPLogic
423,SARCASM,named famously right wing murderers forgetting tweeted responded
424,SARCASM,says man interests politics 70s #auspol
425,SARCASM,lock looks ...
426,SARCASM,Yeah East Tennessee high school football sucks win championships grand division state
427,SARCASM,entire election Trump supporters screamed evil Wall Street & Wall Street ENTIRELY Trump's cabinet
428,SARCASM,hard program complex unpredictable thing world
429,SARCASM,Brits living abroad tell left UK due foreigners don't speak English
430,SARCASM,course right
431,SARCASM,having withdraw disability course prepare #employmenttribunal
432,SARCASM,ha love you're trying spin sensitive you're policing protest keyboard ___
433,SARCASM,Imagine actually talent
434,SARCASM,It's trying outdo Vice President Pence's address criticized tweet
435,SARCASM,weren't #centrelink staff strike gov refuses give staff payrise
436,SARCASM,big ot ry noun intolerance hold different opinions oneself Fits comments perfectly
437,SARCASM,watching pajamas Wasn't upright 4pm
438,SARCASM,remember reading piece Leo's note performance fetched Oscar
439,SARCASM,midst telling they're plagiarizing term McNugget refer Conor
440,SARCASM,hahahahah think direct tie
441,SARCASM,stands developed free tix owner fund player sales #wakeup
442,SARCASM,It's funny people criticize keyboard follow criticize ego ..
443,SARCASM,common thread exists attacking Glenn Greenwald supported regime-change Queen Hillary Clinton
444,SARCASM,Mashar Achakzai Maulana speak constitutional democratic superiority going opposite fata's case
445,SARCASM,yeah communications company you're good communications CSR helping
446,SARCASM,that's uncanny example world live ..
